date,description,amount,type,category,confidence,reasoning
10/02,POS PURCHASE,4.23,debit,Meals,0.8,POS purchase is often a food transaction
10/03,PREAUTHORIZED CREDIT,763.01,credit,Income,1.0,It's a credit transaction
10/04,POS PURCHASE,11.68,debit,Meals,0.85,POS purchase indicates a retail transaction
10/05,CHECK 1234,9.98,debit,Office,0.8,Check suggests a purchase of office supplies
10/05,POS PURCHASE,25.5,debit,Meals,0.8,POS purchase is often a food or meal transaction
10/08,POS PURCHASE,59.08,debit,Office,0.8,POS purchase could be office supplies
10/12,CHECK 1236,69.0,debit,Office,0.8,Check is likely for office supplies
10/14,CHECK 1237,180.63,debit,Rent,0.8,CHECK suggests a monthly payment
10/14,POS PURCHASE,18.96,debit,Meals,0.85,POS purchase suggests a point-of-sale transaction
10/16,PREAUTHORIZED CREDIT,763.01,credit,Income,1.0,It's a credit transaction
10/22,ATM WITHDRAWAL,140.0,debit,Other,0.8,ATM withdrawal is a generic debit transaction
10/28,CHECK 1238,91.06,debit,Office,0.8,Check suggests payment for supplies
10/30,CHECK 1239,451.2,debit,Rent,0.8,CHECK is often used for rent payments
10/30,CHECK 1246,37.07,debit,Office,0.8,Check suggests a payment for supplies
10/30,POS PURCHASE,18.67,debit,Meals,0.85,POS purchase suggests a point of sale transaction likely for food
10/31,CHECK 1247,100.0,debit,Office,0.8,Check suggests a payment for a physical item
10/31,CHECK 1248,78.24,debit,Office,0.8, CHECK 1248 suggests a purchase
10/31,PREAUTHORIZED CREDIT,350.0,credit,Income,0.99,It is a credit transaction
11/02,CHECK 1249,52.23,debit,Meals,0.8,Check suggests a restaurant or food purchase
11/09,INTEREST CREDIT,0.26,credit,Income,1.0,It's a credit transaction
11/09,SERVICE CHARGE,12.0,debit,Other,0.8,It's a bank service charge
10/07,POS PURCHASE,31.57,debit,Meals,0.85,POS purchase is likely a restaurant or food transaction
10/10,POS PURCHASE,18.96,debit,Meals,0.85,POS purchase suggests a retail transaction
